nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,CLDN18.2,MSI-H/dMMR,PD-L1_CPS,EBV,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT02584244,Feasibility of the LUM Imaging System for Detection of Gastrointestinal Cancers,PHASE1;PHASE2,Phase 2,RECRUITING,66,"Lumicell, Inc.",Lumicell,9,1,0,multi_experimental,6,device: lum 2.6 imaging device;lum015,device: lum 2.6 imaging device;lum015,,,,0,1,0,0,0,0,0,0,0,0,,neoadjuvant · adenoca.
NCT02678182,Planning Treatment for Oesophago-gastric Cancer: a Maintenance Therapy Trial,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,494,Royal Marsden NHS Foundation Trust,Royal Marsden NHS Foundation Trust,40,0,1,active_comparator,6,trastuzumab,capecitabine;medi4736 (durvalumab);ramucirumab;rucaparib,PD-L1,Monoclonal Antibody,HER2;PD-L1;biomarker;biomarker analysis,1,1,1,0,0,0,0,1,0,1,HER2+,metastatic · 1st-line · adenoca.
NCT02734004,A Phase I/II Study of MEDI4736 in Combination With Olaparib in Patients With Advanced Solid Tumors.,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,264,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,3,medi4736;olaparib,bevacizumab;medi4736;olaparib,PARP,Small Molecule,BRCA1;BRCA2;ER;HER2;PD-L1;PR,0,1,1,0,0,1,0,0,1,1,"HER2−, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT02962063,"Durvalumab, an Anti-PDLI Antibody, and Tremelimumab, an Anti-CTLA4 Antibody, and Chemoradiation Before Surgery for Esophageal Cancer",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,carboplatin auc 2/paclitaxel;durvalumab;esophagogastrectomy;external beam radiation (ebrt);tremelimumab,carboplatin auc 2/paclitaxel;durvalumab;esophagogastrectomy;external beam radiation (ebrt);tremelimumab,PD-L1,Monoclonal Antibody,EGFR;HER2;PD-L1,1,1,1,0,0,1,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca.
NCT03044613,Nivolumab +/- Relatlimab Prior to Chemoradiation With II/III Gastro/Esophageal Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,32,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,carboplatin;nivolumab;paclitaxel;radiation,carboplatin;nivolumab;paclitaxel;radiation;relatlimab,PD-1,Monoclonal Antibody,CD30;MET;PD-L1;PR;biomarker,1,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT03132922,MAGE-A4ᶜ¹º³²T for Multi-Tumor,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,"USWM CT, LLC",USWM CT,8,1,0,multi_experimental,2,,autologous genetically modified mage-a4c1032t cells combined with low dose radiation;autologous genetically modified mage-a4ᶜ¹º³²t cells,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03175224,APL-101 Study of Subjects With NSCLC With c-Met EXON 14 Skip Mutations and c-Met Dysregulation Advanced Solid Tumors,PHASE2,Phase 2,RECRUITING,497,Apollomics Inc.,Apollomics,4,1,0,multi_experimental,9,apl-101 oral capsules,apl-101 oral capsules,MET,Small Molecule,ALK;BRAF;KRAS;MET;NTRK;PR;RET;ROS1;c-MET Dysregulation,0,1,0,0,0,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST)
NCT03228667,QUILT-3.055: A Study of Combination Immunotherapies in Patients Who Have Previously Received Treatment With Immune Checkpoint Inhibitors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"ImmunityBio, Inc.",ImmunityBio,63,1,0,multi_experimental,6,,n-803 + atezolizumab;n-803 + atezolizumab + pd-l1 t-hank;n-803 + avelumab;n-803 + avelumab + pd-l1 t-hank;n-803 + docetaxel + nivolumab;n-803 + docetaxel + pembrolizumab;n-803 + durvalumab;n-803 + durvalumab + pd-l1 t-hank;n-803 + nivolumab;n-803 + nivolumab + pd-l1 t-hank;n-803 + pembrolizumab;n-803 + pembrolizumab + pd-l1 t-hank,PD-1,Monoclonal Antibody,ALK;BRAF;HER2;KRAS;MET;NTRK;PD-L1;PR;RET;ROS1,1,1,1,0,0,1,0,0,0,1,"HER2+, PD-L1+",recurrent · measurable (RECIST)
NCT03259867,Combination of TATE and PD-1 Inhibitor in Liver Cancer,PHASE2,Phase 2,RECRUITING,54,Teclison Ltd.,Teclison,4,1,0,multi_experimental,2,nivolumab injectable product;trans-arterial tirapazamine embolization,nivolumab injectable product;trans-arterial tirapazamine embolization,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,0,,metastatic · ECOG 2
NCT03368963,TAS102 in Combination With NAL-IRI in Advanced GI Cancers,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,Emory University,Emory University,116,0,0,single_arm,1,nanoliposomal irinotecan;trifluridine/tipiracil,nanoliposomal irinotecan;trifluridine/tipiracil,TOP1,Small Molecule,,0,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03421288,Study of Atezolizumab + FLOT vs. FLOT Alone in Patients With GC/GEJ and High Immune Responsiveness,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,677,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,28,0,1,active_comparator,2,calciumfolinat;docetaxel;fluorouracil;oxaliplatin,atezolizumab;calciumfolinat;docetaxel;fluorouracil;oxaliplatin,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI;MSI-H;PD-L1;TMB,1,1,0,0,0,1,1,0,0,1,"PD-L1+, EBV+",metastatic · adenoca. · ECOG 1
NCT03448835,"Neoadjuvant Capecitabine, Oxaliplatin, Docetaxel and Atezolizumab in Resectable Gastric and GE-junction Cancer (PANDA)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,single_arm,1,atezolizumab;capecitabine;docetaxel;oxaliplatin,atezolizumab;capecitabine;docetaxel;oxaliplatin,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT03488667,Perioperative mFOLFOX Plus Pembrolizumab in Gastroesophageal Junction (GEJ) and Stomach Adenocarcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,University of Kansas Medical Center,University of Kansas Medical Center,27,0,1,single_arm,1,adjuvant treatment - mfolfox & pembrolizumab;neoadjuvant treatment - mfolfox6 & pembrolizumab,adjuvant treatment - mfolfox & pembrolizumab;neoadjuvant treatment - mfolfox6 & pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT03504397,A Study to Compare Zolbetuximab (IMAB362) and Chemotherapy With Placebo and Chemotherapy in Adults With Gastric Cancer.,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,565,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,placebo_comparator,2,fluorouracil;leucovorin;oxaliplatin,fluorouracil;leucovorin;oxaliplatin;zolbetuximab,CLDN18.2,Monoclonal Antibody,CLDN18.2;HER2;PD-L1,1,1,1,1,0,0,0,0,0,1,"HER2−, CLDN18.2+",metastatic · adenoca. · measurable (RECIST)
NCT03505320,A Study of Zolbetuximab (IMAB362) in Adults With Gastric Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,143,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,multi_experimental,5,zolbetuximab,docetaxel;fluorouracil;leucovorin;nivolumab;oxaliplatin;pembrolizumab;zolbetuximab,CLDN18.2,Monoclonal Antibody,CLDN18.2;HER2;MMR;MSI;PD-L1,1,1,1,1,1,0,0,0,0,1,"HER2−, CLDN18.2+, MSI-H/dMMR",metastatic · adenoca. · measurable (RECIST)
NCT03526835,A Study of Bispecific Antibody MCLA-158 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,560,Merus B.V.,Merus,8,1,0,multi_experimental,4,,mcla-158;mcla-158 + folfiri;mcla-158 + folfox;mcla-158 + pembrolizumab,EGFR,Monoclonal Antibody,BRAF;HER2;KRAS;PD-L1,1,1,1,0,0,1,0,1,1,1,"HER2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03539822,Cabozantinib Plus Durvalumab With or Without Tremelimumab in Patients With Gastroesophageal Cancer and Other Gastrointestinal Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,117,Anwaar Saeed,Anwaar Saeed,3,0,1,multi_experimental,4,cabozantinib;durvalumab,cabozantinib;durvalumab;tremelimumab,MET,Small Molecule,MET;MMR;MSI;PD-L1,0,1,0,0,1,1,0,1,0,1,"MSI-H/dMMR, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
